0:0:0:0:0:0:0:1 - - [08/Mar/2021:22:14:46 +0530] "GET /TweetApplication/ViewTweet HTTP/1.1" 200 1370
0:0:0:0:0:0:0:1 - - [08/Mar/2021:22:14:51 +0530] "GET /TweetApplication/ViewAllTweets HTTP/1.1" 200 2162
0:0:0:0:0:0:0:1 - - [08/Mar/2021:22:21:50 +0530] "GET /TweetApplication/Login.jsp HTTP/1.1" 200 2254
0:0:0:0:0:0:0:1 - - [08/Mar/2021:22:21:53 +0530] "POST /TweetApplication/Login HTTP/1.1" 500 1096
0:0:0:0:0:0:0:1 - - [08/Mar/2021:22:22:24 +0530] "POST /TweetApplication/Login HTTP/1.1" 500 1096
0:0:0:0:0:0:0:1 - - [08/Mar/2021:22:23:09 +0530] "GET /TweetApplication/Home.jsp HTTP/1.1" 200 1611
0:0:0:0:0:0:0:1 - - [08/Mar/2021:22:26:07 +0530] "GET /TweetApplication/Home.jsp HTTP/1.1" 200 1613
0:0:0:0:0:0:0:1 - - [08/Mar/2021:22:30:04 +0530] "GET /TweetApplication/Home.jsp HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [08/Mar/2021:22:30:38 +0530] "GET /TweetApplication/Home.jsp HTTP/1.1" 200 1549
0:0:0:0:0:0:0:1 - - [08/Mar/2021:22:31:40 +0530] "GET /TweetApplication/Home.jsp HTTP/1.1" 200 1551
0:0:0:0:0:0:0:1 - - [08/Mar/2021:22:34:33 +0530] "GET /TweetApplication/Home.jsp HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [08/Mar/2021:22:36:30 +0530] "GET /TweetApplication/Home.jsp HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [08/Mar/2021:22:38:28 +0530] "GET /TweetApplication/Home.jsp HTTP/1.1" 200 1583
0:0:0:0:0:0:0:1 - - [08/Mar/2021:22:38:55 +0530] "GET /TweetApplication/Home.jsp HTTP/1.1" 200 1583
0:0:0:0:0:0:0:1 - - [08/Mar/2021:22:39:39 +0530] "GET /TweetApplication/Home.jsp HTTP/1.1" 200 1583
0:0:0:0:0:0:0:1 - - [08/Mar/2021:22:39:54 +0530] "GET /TweetApplication/Home.jsp HTTP/1.1" 200 1583
0:0:0:0:0:0:0:1 - - [08/Mar/2021:22:44:06 +0530] "GET /TweetApplication/Home.jsp HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [08/Mar/2021:22:59:21 +0530] "GET /TweetApplication/Home.jsp HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [08/Mar/2021:22:59:24 +0530] "GET /TweetApplication/Login.jsp HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:00:04 +0530] "GET /TweetApplication/Home.jsp HTTP/1.1" 200 1713
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:00:07 +0530] "GET /TweetApplication/Home.jsp HTTP/1.1" 200 1713
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:00:10 +0530] "GET /TweetApplication/Login.jsp HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:00:35 +0530] "GET /TweetApplication/Post.jsp HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:06:26 +0530] "GET /TweetApplication/Post.jsp HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:09:28 +0530] "GET /TweetApplication/ViewAllTweets HTTP/1.1" 200 2162
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:15:14 +0530] "GET /TweetApplication/Post.jsp HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:16:08 +0530] "GET /TweetApplication/Post.jsp HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:20:27 +0530] "GET /TweetApplication/ViewAllTweets HTTP/1.1" 200 2162
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:21:11 +0530] "GET /TweetApplication/Post.jsp HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:21:12 +0530] "GET /TweetApplication/Post.jsp HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:21:39 +0530] "GET /TweetApplication/Post.jsp HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:21:41 +0530] "GET /TweetApplication/Post.jsp HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:21:44 +0530] "GET /TweetApplication/Post.jsp HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:22:09 +0530] "GET /TweetApplication/Post.jsp HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:22:10 +0530] "GET /TweetApplication/Post.jsp HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:22:27 +0530] "GET /TweetApplication/Home.jsp HTTP/1.1" 200 1713
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:22:28 +0530] "GET /TweetApplication/Post.jsp HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:23:09 +0530] "GET /TweetApplication/Post.jsp HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:23:11 +0530] "GET /TweetApplication/Post.jsp HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:23:40 +0530] "GET /TweetApplication/Post.jsp HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:23:44 +0530] "GET /TweetApplication/Home.jsp HTTP/1.1" 200 1713
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:23:47 +0530] "GET /TweetApplication/Post.jsp HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:25:36 +0530] "GET /TweetApplication/Post.jsp HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:25:40 +0530] "GET /TweetApplication/Home.jsp HTTP/1.1" 200 1713
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:25:55 +0530] "GET /TweetApplication/Post.jsp HTTP/1.1" 200 1319
